,id,name,doi,paragraph,authors,field/topic/keywords,url (ground truth),candidate_urls,probability (ground truth),metadata_name,metadata_authors,metadata_keywords,metadata_description,name_metric,author_metric,paragraph_metric,keywords_metric,language_metric,average,min,max
0,3,(STAR,10.1038/s41598-021-86032-5,"Then, the high-quality reads were aligned to the reference genome (hg19) using Spliced Transcripts Alignment to a Reference (STAR) with the parameter –quantMode GeneCounts for gene-level quantification and otherwise default parameters","Timothy Warwick,Marcel H. Schulz,Stefan Günther,Ralf Gilsbach,Antonio Neme,Carsten Carlberg,Ralf P. Brandes,Sabine Seuter","Calcitriol receptor,Transcription factor,Biology,Transcriptome,ETS1",https://github.com/alexdobin/STAR,https://github.com/alexdobin/STAR,1,STAR,Alexander Dobin,,RNA-seq aligner,1.0,0.5225023342670402,0.628620445728302,0.3893604874610901,,0.635120816864108,0.3893604874610901,1.0
1,9,(STAR,10.3389/fphys.2020.623190,"Next, the two reads per sample (R1 and R2) were mapped to the mouse reference genome (build GRCm38/mm10) using Spliced Transcripts Alignment to a Reference (STAR version 2.6.1) (Dobin et al., 2013)","Marta Pérez-Hernández,Grecia M Marrón-Liñares,Florencia Schlamp,Adriana Heguy,Chantal J.M. van Opbergen,Valeria Mezzano,Mingliang Zhang,Feng-Xia Liang,Marina Cerrone,Mario Delmar","Transcriptome,Myocyte,Biology,Inflammation",https://github.com/alexdobin/STAR,https://github.com/alexdobin/STAR,1,STAR,Alexander Dobin,,RNA-seq aligner,1.0,0.518499203244966,0.5569716095924377,0.4818571209907532,,0.6393319834570392,0.4818571209907532,1.0
2,14,ABBYY,10.1109/JTEHM.2019.2935451,"A 4-sample test for equality of proportions showed that the overall successful search rate differed significantly between the OCR engines (, df = 3, p < 0.001), with ML Kit and Rekognition having a significantly higher overall success rate than Azure OCR and ABBYY RTR (p < 0.001 for all multiple pairwise comparison with Bonferroni correction)","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY",https://github.com/gojiplus/abbyyR,0,abbyyR,goji+,"abbyy-cloud-ocr, cran, ocr, ocr-engine",R Client for the Abbyy Cloud OCR,0.9666666666666668,0.3422222222222222,0.4399321377277374,0.4012027382850647,,0.5375059412254228,0.3422222222222222,0.9666666666666668
3,16,ABBYY,10.1109/JTEHM.2019.2935451,"A 4-sample test for equality of proportions showed that the overall successful search rate differed significantly between the OCR engines (, df = 3, p < 0.001), with ML Kit and Rekognition having a significantly higher overall success rate than Azure OCR and ABBYY RTR (p < 0.001 for all multiple pairwise comparison with Bonferroni correction)","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY",https://github.com/dannguyen/abbyy-finereader-ocr-senate,0,abbyy-finereader-ocr-senate,Dan Nguyen,,Evaluating the performance and accuracy of ABBYY FineReader's OCR on Senate Financial Disclosure scanned forms,0.837037037037037,0.5977777777777779,0.5513583421707153,0.446317195892334,,0.6081225882194661,0.446317195892334,0.837037037037037
4,17,ABBYY,10.1109/JTEHM.2019.2935451,"A 4-sample test for equality of proportions showed that the overall successful search rate differed significantly between the OCR engines (, df = 3, p < 0.001), with ML Kit and Rekognition having a significantly higher overall success rate than Azure OCR and ABBYY RTR (p < 0.001 for all multiple pairwise comparison with Bonferroni correction)","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY",https://pypi.org/project/ABBYY/,1,ABBYY,Samuel Cossette,,ABBYY Cloud OCR API Wrapper.,1.0,0.5144444444444445,0.4736005663871765,0.3763647675514221,,0.5911024445957608,0.3763647675514221,1.0
5,20,ABBYY,10.1109/JTEHM.2019.2935451,"A 4-sample test for equality of proportions showed that the overall successful search rate differed significantly between the OCR engines (, df = 3, p < 0.001), with ML Kit and Rekognition having a significantly higher overall success rate than Azure OCR and ABBYY RTR (p < 0.001 for all multiple pairwise comparison with Bonferroni correction)","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY",https://github.com/samueltc/ABBYY,1,ABBYY,Samuel Cossette,,Simple Python wrapper for ABBYY Cloud OCR,1.0,0.5144444444444445,0.421244204044342,0.3194328844547272,,0.5637803832358784,0.3194328844547272,1.0
6,22,ABBYY,10.1109/JTEHM.2019.2935451,"Four different OCR Engines that can be implemented via an API were evaluated to determine the accuracy and usability of each engine: Google Machine Learning Kit (ML Kit) [26], Microsoft Azure’s Cognitive Services (Azure OCR) [27], ABBYY’s Real Time Recognition SDK (ABBY RTR) [28], and Amazon’s Rekognition SDK (Rekognition) [29]","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY",https://github.com/gojiplus/abbyyR,0,abbyyR,goji+,"abbyy-cloud-ocr, cran, ocr, ocr-engine",R Client for the Abbyy Cloud OCR,0.9666666666666668,0.3422222222222222,0.5018503069877625,0.4012027382850647,,0.5529854835404291,0.3422222222222222,0.9666666666666668
7,24,ABBYY,10.1109/JTEHM.2019.2935451,"Four different OCR Engines that can be implemented via an API were evaluated to determine the accuracy and usability of each engine: Google Machine Learning Kit (ML Kit) [26], Microsoft Azure’s Cognitive Services (Azure OCR) [27], ABBYY’s Real Time Recognition SDK (ABBY RTR) [28], and Amazon’s Rekognition SDK (Rekognition) [29]","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY",https://github.com/dannguyen/abbyy-finereader-ocr-senate,0,abbyy-finereader-ocr-senate,Dan Nguyen,,Evaluating the performance and accuracy of ABBYY FineReader's OCR on Senate Financial Disclosure scanned forms,0.837037037037037,0.5977777777777779,0.5990766286849976,0.446317195892334,,0.6200521598480366,0.446317195892334,0.837037037037037
8,25,ABBYY,10.1109/JTEHM.2019.2935451,"Four different OCR Engines that can be implemented via an API were evaluated to determine the accuracy and usability of each engine: Google Machine Learning Kit (ML Kit) [26], Microsoft Azure’s Cognitive Services (Azure OCR) [27], ABBYY’s Real Time Recognition SDK (ABBY RTR) [28], and Amazon’s Rekognition SDK (Rekognition) [29]","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY",https://pypi.org/project/ABBYY/,1,ABBYY,Samuel Cossette,,ABBYY Cloud OCR API Wrapper.,1.0,0.5144444444444445,0.6281996369361877,0.3763647675514221,,0.6297522122330136,0.3763647675514221,1.0
9,28,ABBYY,10.1109/JTEHM.2019.2935451,"Four different OCR Engines that can be implemented via an API were evaluated to determine the accuracy and usability of each engine: Google Machine Learning Kit (ML Kit) [26], Microsoft Azure’s Cognitive Services (Azure OCR) [27], ABBYY’s Real Time Recognition SDK (ABBY RTR) [28], and Amazon’s Rekognition SDK (Rekognition) [29]","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY",https://github.com/samueltc/ABBYY,1,ABBYY,Samuel Cossette,,Simple Python wrapper for ABBYY Cloud OCR,1.0,0.5144444444444445,0.5378344655036926,0.3194328844547272,,0.5929279486007161,0.3194328844547272,1.0
