ID;software_mention;package_url;homepage_url;github_repo;exact_match;doi;paragraph
SM1000082;pytplot;https://pypi.org/project/pytplot,https://github.com/MAVENSDC/pytplot;['https://github.com/MAVENSDC/pytplot'];['https://github.com/MAVENSDC/pytplot'];TRUE;10.1007/s11214-018-0576-4;Under the PySPEDAS structure, “*_load_xxx” routines have been developed to access CDF files and import data to populate pytplot variables in a generic way
SM1003436;strand;https://cran.r-project.org/package=strand,https://github.com/strand-tech/strand;;;TRUE;10.1002/sim.8065;Only the data are required, a choice of gates and an indication of the amount of data to be apportioned as pilot data, to implement the essential form of the STRAND Chart using the R package “strand” (available from the author).
SM1003436;strand;https://pypi.org/project/strand,https://github.com/i2mint/strand;https://github.com/i2mint/strand;['https://github.com/i2mint/strand'];FALSE;10.1002/sim.8065;Only the data are required, a choice of gates and an indication of the amount of data to be apportioned as pilot data, to implement the essential form of the STRAND Chart using the R package “strand” (available from the author).
SM1007307;swirl;https://cran.r-project.org/package=swirl,https://swirlstats.com/;;;TRUE;10.1111/test.12258;The swirl R package aims to teach R programming and data science interactively and directly from within the R console
SM1007307;swirl;https://pypi.org/project/swirl,http://code.naeseth.com/swirl/;http://code.naeseth.com/swirl/;;FALSE;10.1111/test.12258;The swirl R package aims to teach R programming and data science interactively and directly from within the R console
SM107466;TreeToReads;https://pypi.org/project/TreeToReads,https://github.com/snacktavish/TreeToReads;['https://github.com/snacktavish/TreeToReads'];;TRUE;10.1186/s12859-017-1592-1;TreeToReads allows researchers to test the joint effects of multiple parameter values on the ability of any analysis pipeline to recover the signal and infer the correct tree
SM107466;TreeToReads;https://pypi.org/project/TreeToReads,https://github.com/snacktavish/TreeToReads;['https://github.com/snacktavish/TreeToReads'];;TRUE;10.1099/mgen.0.000261;Considering that TreeToReads does not simulate SVs, this result indicates that real, complex variants between the reference and root sequence used in the first benchmark surely caused many false-positive SNP calls and enabled realistic evaluation of the accuracy.
SM107466;TreeToReads;https://pypi.org/project/TreeToReads,https://github.com/snacktavish/TreeToReads;['https://github.com/snacktavish/TreeToReads'];;TRUE;10.7717/peerj.3893;The simulated dataset was created using the TreeToReads v 0.0.5 (McTavish et al., 2017), which takes as input a tree file (true phylogeny), an anchor genome, and a set of user-defined parameter values
SM107466;TreeToReads;https://pypi.org/project/TreeToReads,https://github.com/snacktavish/TreeToReads;['https://github.com/snacktavish/TreeToReads'];;TRUE;10.1186/s12859-017-1592-1;Anchoring an observed genome to a tip in a tree using TreeToReads allows us to test choices about selection of reference genomes in a way that is directly comparable to empirical data
SM107466;TreeToReads;https://pypi.org/project/TreeToReads,https://github.com/snacktavish/TreeToReads;['https://github.com/snacktavish/TreeToReads'];;TRUE;10.1186/s12859-017-1592-1;If ART is invoked in TreeToReads the program will output a folder labeled ‘fastq’ containing directories labeled with the names of each tip from the simulation tree, in which the simulated reads are deposited in.fastq.gz formats
SM1077143;kontroller;https://pypi.org/project/kontroller,https://github.com/caruccio/kontroller;;;FALSE;10.7554/eLife.27670;Using kontroller to automate the process, we performed a direct search on hardware to find the best distribution of control signals that was closest to the desired Gaussian distribution
SM1077143;kontroller;https://github.com/emonetlab/kontroller;;;TRUE;10.7554/eLife.27670;Using kontroller to automate the process, we performed a direct search on hardware to find the best distribution of control signals that was closest to the desired Gaussian distribution
SM1077143;kontroller;https://pypi.org/project/kontroller,https://github.com/caruccio/kontroller;;;FALSE;10.7554/eLife.27670;We wrote a general-purpose acquisition and control system called kontroller (available at https://github.com/emonetlab/kontroller) in MATLAB (Mathworks, Inc.) to control MFCs, valves and LEDs and to collect data from electrophysiology and the stimulus measurement.
SM1077143;kontroller;https://github.com/emonetlab/kontroller;;;TRUE;10.7554/eLife.27670;We wrote a general-purpose acquisition and control system called kontroller (available at https://github.com/emonetlab/kontroller) in MATLAB (Mathworks, Inc.) to control MFCs, valves and LEDs and to collect data from electrophysiology and the stimulus measurement.
SM146580;biopy;https://pypi.org/project/biopy,https://github.com/BioPyTeam/biopy;;;FALSE;10.1186/1471-2148-12-23;Tree files were summarized in biopy v0.1.2 [104], the posterior was resampled, and the variance among 100 random resampled species trees was visualized in DensiTree [105]
SM146580;biopy;https://pypi.org/project/biopy,https://github.com/BioPyTeam/biopy;;;FALSE;10.1186/1471-2148-13-221;The methods are implemented in biopy [9], and integrated with DensiTree, making it easy to examine the summary tree in the context of the full posterior.
SM146580;biopy;https://github.com/jheled/biopy;;;TRUE;10.1186/1471-2148-12-23;Tree files were summarized in biopy v0.1.2 [104], the posterior was resampled, and the variance among 100 random resampled species trees was visualized in DensiTree [105]
SM146580;biopy;https://github.com/jheled/biopy;;;TRUE;10.1186/1471-2148-13-221;The methods are implemented in biopy [9], and integrated with DensiTree, making it easy to examine the summary tree in the context of the full posterior.
SM146580;biopy;https://github.com/jheled/biopy;;;TRUE;10.1093/molbev/msx126;Simulated trees were generated using biopy, and trees sampled from a prior distribution were generated using StarBEAST2 with all new features enabled
